Date,lwe_thickness_mean_mm,lwe_thickness_sum_mm
2009-12-01,-1158.9865789143826,-421048.4615060764
2010-01-01,-1461.0959996029435,-530801.852185165
2010-02-01,-2025.637941255904,-735894.4048627673
2010-03-01,-2498.6591454905088,-907738.3708984124
2010-04-01,-2783.367091157097,-1011169.9763047148
2010-05-01,-2656.377532057204,-965035.914479401
2010-06-01,-1519.362834398897,-551969.6220230564
2010-07-01,30.34254012464389,11023.147351399548
2010-08-01,1061.115620016361,385492.90165763
2010-09-01,389.2798640868575,141421.55815349956
2010-10-01,-357.7680108359449,-129973.61080718078
2010-11-01,-800.6942311013654,-290884.36421568383
2011-02-01,-1528.1688725138597,-555168.7693365153
2011-03-01,-2309.1827550669104,-838903.4558691902
2011-04-01,-2440.902236525448,-886755.8521156113
2011-07-01,745.441622030044,270811.6330323185
2011-08-01,2053.657660450332,746073.6941429735
2011-09-01,1143.6586306895083,415479.9681899819
2011-10-01,613.4587125590449,222863.53597159748
2011-12-01,-414.9843010852603,-150759.728110735
2012-01-01,-834.4265309387744,-303138.9780377926
2012-02-01,-1357.1419705576493,-493036.3725901571
2012-03-01,-1600.8576649030792,-581575.8949762994
2012-05-01,-2705.428966800297,-982855.8198251476
2012-06-01,-1352.6552160255524,-491406.3786564358
2012-07-01,479.42083625840286,174168.8896084007
2012-08-01,1418.6567793140057,515384.09952498105
2012-11-01,-737.3148591288929,-267859.25974447647
2012-12-01,-1184.260903045384,-430230.3756753778
2013-01-01,-1219.9563517838965,-443198.18224669946
2013-04-01,-2186.6718046186515,-794396.4286590873
2013-05-01,-1853.4008710738003,-673322.3658643364
2013-06-01,291.91143930785023,106048.56402368602
2013-09-01,1097.687585936607,398779.13832777
2013-10-01,353.6063429939628,128461.7176808538
2013-11-01,-195.32420425529656,-70959.36846277026
2013-12-01,-475.5752549271504,-172771.82761253443
2014-02-01,-685.2983556988103,-248962.17401404737
2014-03-01,-1352.4856747117187,-491344.7859592898
2014-04-01,-1734.175705061344,-630009.0319261876
2014-05-01,-1938.277554827926,-704157.2329478597
2014-07-01,530.2194692814267,192623.53495985127
2014-08-01,683.7651952879257,248405.1918677574
2014-09-01,168.18373631928068,61099.50254463467
2014-10-01,-636.598850343807,-231270.12116470563
2015-01-01,-1667.9200971908797,-605939.0191516309
2015-02-01,-1466.6283185945792,-532811.6894364047
2015-03-01,-1889.5118301169653,-686441.123255708
2015-04-01,-1885.5216748148785,-684991.5389536294
2015-06-01,-709.6789877852287,-257819.4186252384
2015-07-01,447.2419606313832,162478.61957227727
2015-08-01,142.02481490383877,51596.222854418505
2015-12-01,-2226.316672564036,-808799.0205084694
2016-01-01,-2696.2842324160547,-979533.6274776112
2016-02-01,-3047.7845947935048,-1107230.2630473548
2016-05-01,-3743.104286060952,-1359833.0900251
2016-06-01,-1746.9592331130614,-634653.1623386701
2016-08-01,283.2586327178403,102905.08422097258
2016-11-01,-1182.2600219387634,-429503.4751858239
2016-12-01,-2019.228927784884,-733566.073102211
2017-01-01,-1925.112902137289,-699374.6436905738
2017-03-01,-3333.8264747287185,-1211146.4736956616
2017-04-01,-3473.2605036788486,-1261801.48941296
2017-05-01,-3663.771106723161,-1331012.1237479486
2018-05-01,-4124.395710267811,-1498352.5262882344
2018-06-01,-3310.4328060303405,-1202647.783207234
2018-10-01,-1844.8584256932484,-670218.9792070463
2018-11-01,-2566.515026886279,-932389.7473557568
2018-12-01,-2846.495934906822,-1034104.0663287572
2019-01-01,-2754.297085830599,-1000609.1283696505
2019-02-01,-3021.169101718788,-1097561.1153495165
2019-03-01,-3644.7612630675367,-1324106.0339188764
2019-04-01,-3919.2347421468726,-1423819.5579519377
2019-05-01,-4223.465069238336,-1534343.4531340003
2019-06-01,-2633.909408602465,-956873.4655040146
2019-07-01,-1087.8434104028731,-395202.8458678892
2019-08-01,-358.0629890564554,-130080.7735027489
2019-09-01,-473.7738886832232,-172117.40891656905
2019-10-01,-1425.416261582983,-517839.75316386647
2019-11-01,-1774.050725250066,-644495.2358291798
2019-12-01,-2005.884534427956,-728718.1858230251
2020-01-01,-2319.226033389449,-842552.0804202555
2020-02-01,-2273.354879740613,-825887.540016826
2020-03-01,-2924.4304360624687,-1062416.906534867
2020-04-01,-3037.529065541365,-1103504.5298144568
2020-05-01,-2766.52106546616,-1005049.980328312
2020-06-01,-1444.0317156361996,-524602.5651169486
2020-07-01,-330.37114988405807,-120020.59982003628
2020-08-01,51.29797876336085,18636.05276336857
2020-09-01,-926.3757606515608,-336543.2317294115
2020-10-01,-1939.9099514980053,-704750.2666542107
2020-11-01,-2524.409889905179,-917093.3638859838
2020-12-01,-2715.149591852139,-986387.2276062364
2021-01-01,-3179.821036918457,-1155197.8079964272
2021-02-01,-3670.0933181214455,-1333308.9211664803
2021-03-01,-4024.8495052989015,-1462188.3659662153
2021-04-01,-4031.991611716263,-1464783.0232069916
2021-05-01,-3231.4804996602966,-1173965.1843452165
2021-06-01,-2191.553611571104,-796169.9412640607
2021-07-01,-470.390817709417,-170888.37239914775
2021-08-01,-154.0504374805517,-55965.01363827776
2021-09-01,-510.9592093848176,-185626.4713654906
2021-10-01,-1220.770254692375,-443493.86519390944
2021-11-01,-1850.6782313290985,-672333.2575376326
2021-12-01,-1847.722216130997,-671259.3661967037
2022-01-01,-2092.557144868457,-760205.4954645841
2022-02-01,-2560.917532768654,-930356.2326202168
2022-03-01,-3093.475734717057,-1123829.4062292292
2022-04-01,-3606.050795217569,-1310042.9004633736
2022-05-01,-3873.154078863997,-1407078.9047524775
2022-06-01,-2741.7378217439527,-996046.470857012
2022-07-01,-1156.4270487416868,-420118.60928776907
2022-08-01,-863.7790217213671,-313802.45016959106
2022-09-01,-678.2007510290507,-246383.68382188323
2022-10-01,-1732.3066211735277,-629330.0120740958
2022-11-01,-2175.0940559826986,-790190.3460869851
2022-12-01,-2396.375343285436,-870579.6683396843
2023-01-01,-2652.7241794185493,-963708.6872829606
2023-02-01,-3293.863751149235,-1196628.408010643
2023-03-01,-3497.0543079043696,-1270445.5452155017
2023-04-01,-3974.9814925433298,-1444071.805834202
2023-05-01,-4143.456499663773,-1505277.124205303
2023-06-01,-2133.768780302846,-775177.2785822563
2023-07-01,-865.6040660833404,-314465.47089370416
2023-08-01,-824.7412004219327,-299620.3924152448
2023-09-01,-1204.8500680033833,-437710.2174500605
2023-10-01,-2029.1988686029065,-737188.0548568808
2023-11-01,-2433.716250315045,-884145.2537762172
2023-12-01,-2988.310116645474,-1085623.7682192945
2024-01-01,-3199.012112644416,-1162169.7376598667
2024-02-01,-3556.127716595186,-1291906.3354418094
2024-03-01,-4128.353580800752,-1499790.3818501993
2024-04-01,-4514.343769338833,-1640016.8331285494
2024-05-01,-4605.742009030391,-1673220.917547319
2024-06-01,-2752.223912742268,-999855.964911886
2024-07-01,-853.2550388788648,-309979.1903792123
2024-08-01,-125.71763092116166,-45671.98278786468
2024-09-01,-509.5134487385587,-185101.24069682875
